Name                                               Project              Compat              Latest               Kind         Platform
async-signal->async-lock                           3.4.2                ---                 Removed              Normal       cfg(windows)
async-signal->atomic-waker                         1.1.2                ---                 Removed              Normal       cfg(windows)
async-signal->cfg-if                               1.0.4                ---                 Removed              Normal       ---
async-signal->futures-core                         0.3.32               ---                 Removed              Normal       ---
async-signal->futures-io                           0.3.32               ---                 Removed              Normal       cfg(unix)
async-signal->rustix                               1.1.4                ---                 Removed              Normal       cfg(unix)
async-signal->signal-hook-registry                 1.4.8                ---                 Removed              Normal       cfg(unix)
async-signal->slab                                 0.4.12               ---                 Removed              Normal       cfg(windows)
async-signal->windows-sys                          0.61.2               ---                 Removed              Normal       cfg(windows)
async-trait->proc-macro2                           1.0.106              ---                 Removed              Normal       ---
async-trait->quote                                 1.0.40               1.0.45              1.0.45               Normal       ---
async-trait->quote                                 1.0.40               1.0.45              Removed              Normal       ---
async-trait->syn                                   2.0.114              2.0.117             2.0.117              Normal       ---
async-trait->syn                                   2.0.114              2.0.117             Removed              Normal       ---
atspi->atspi-common                                0.9.0                ---                 0.13.0               Normal       ---
atspi->atspi-connection                            0.9.0                ---                 Removed              Normal       ---
atspi->atspi-proxies                               0.9.0                ---                 0.13.0               Normal       ---
atspi-common->enumflags2                           0.7.12               ---                 Removed              Normal       ---
atspi-common->serde                                1.0.228              ---                 Removed              Normal       ---
atspi-common->static_assertions                    1.1.0                ---                 Removed              Normal       ---
atspi-common->zbus                                 5.14.0               5.16.0              5.16.0               Normal       ---
atspi-common->zbus                                 5.14.0               5.16.0              Removed              Normal       ---
atspi-common->zbus-lockstep                        0.5.2                ---                 Removed              Normal       ---
atspi-common->zbus-lockstep-macros                 0.5.2                ---                 Removed              Normal       ---
atspi-common->zbus_names                           4.3.1                4.3.2               4.3.2                Normal       ---
atspi-common->zbus_names                           4.3.1                4.3.2               Removed              Normal       ---
atspi-common->zvariant                             5.10.0               5.12.0              5.12.0               Normal       ---
atspi-common->zvariant                             5.10.0               5.12.0              Removed              Normal       ---
atspi-connection->atspi-common                     0.9.0                ---                 Removed              Normal       ---
atspi-connection->atspi-proxies                    0.9.0                ---                 Removed              Normal       ---
atspi-connection->futures-lite                     2.6.1                ---                 Removed              Normal       ---
atspi-connection->zbus                             5.14.0               5.16.0              Removed              Normal       ---
atspi-proxies->atspi-common                        0.9.0                ---                 0.13.0               Normal       ---
atspi-proxies->atspi-common                        0.9.0                ---                 Removed              Normal       ---
atspi-proxies->serde                               1.0.228              ---                 Removed              Normal       ---
atspi-proxies->zbus                                5.14.0               5.16.0              5.16.0               Normal       ---
atspi-proxies->zbus                                5.14.0               5.16.0              Removed              Normal       ---
bit-set->bit-vec                                   0.8.0                ---                 0.9.1                Normal       ---
block2->objc2                                      0.5.2                ---                 0.6.4                Normal       ---
block2->objc2                                      0.5.2                ---                 Removed              Normal       ---
blocking->async-channel                            2.5.0                ---                 Removed              Normal       ---
blocking->async-task                               4.7.1                ---                 Removed              Normal       ---
blocking->futures-io                               0.3.32               ---                 Removed              Normal       ---
blocking->futures-lite                             2.6.1                ---                 Removed              Normal       ---
blocking->piper                                    0.2.5                ---                 Removed              Normal       ---
bytemuck_derive->quote                             1.0.40               1.0.45              1.0.45               Normal       ---
bytemuck_derive->syn                               2.0.114              2.0.117             2.0.117              Normal       ---
calloop->bitflags                                  2.10.0               2.13.0              2.13.0               Normal       ---
calloop->log                                       0.4.29               0.4.32              0.4.32               Normal       ---
calloop-wayland-source->wayland-backend            0.3.14               0.3.15              0.3.15               Normal       ---
calloop-wayland-source->wayland-client             0.31.13              0.31.14             0.31.14              Normal       ---
cc->libc                                           0.2.183              0.2.186             0.2.186              Normal       cfg(unix)
cc->shlex                                          1.3.0                2.0.1               2.0.1                Normal       ---
cgl->libc                                          0.2.183              0.2.186             0.2.186              Normal       ---
chrono                                             0.4.43               0.4.45              0.4.45               Normal       ---
chrono->js-sys                                     0.3.85               0.3.102             0.3.102              Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
chrono->wasm-bindgen                               0.2.108              0.2.125             0.2.125              Normal       cfg(all(target_arch = "wasm32", not(any(target_os = "emscripten", target_os = "wasi"))))
combine->memchr                                    2.8.0                2.8.2               2.8.2                Normal       ---
concurrent-queue->crossbeam-utils                  0.8.21               ---                 Removed              Normal       ---
core-foundation->core-foundation-sys               0.8.7                ---                 Removed              Normal       ---
core-foundation->libc                              0.2.183              0.2.186             0.2.186              Normal       ---
core-foundation->libc                              0.2.183              0.2.186             Removed              Normal       ---
core-graphics->libc                                0.2.183              0.2.186             0.2.186              Normal       ---
core-graphics-types->bitflags                      2.10.0               2.13.0              Removed              Normal       ---
core-graphics-types->core-foundation               0.10.0               0.10.1              Removed              Normal       ---
core-graphics-types->libc                          0.2.183              0.2.186             0.2.186              Normal       ---
core-graphics-types->libc                          0.2.183              0.2.186             Removed              Normal       ---
cpufeatures->libc                                  0.2.183              0.2.186             0.2.186              Normal       cfg(all(target_arch = "aarch64", target_os = "android"))
csv->itoa                                          1.0.17               1.0.18              1.0.18               Normal       ---
csv-core->memchr                                   2.8.0                2.8.2               2.8.2                Normal       ---
dispatch2->bitflags                                2.10.0               2.13.0              2.13.0               Normal       ---
displaydoc->quote                                  1.0.40               1.0.45              1.0.45               Normal       ---
displaydoc->syn                                    2.0.114              2.0.117             2.0.117              Normal       ---
ecolor->emath                                      0.33.3               ---                 0.34.3               Normal       ---
eframe                                             0.33.3               ---                 0.34.3               Normal       ---
eframe->egui                                       0.33.3               ---                 0.34.3               Normal       ---
eframe->egui-wgpu                                  0.33.3               ---                 0.34.3               Normal       cfg(not(target_arch = "wasm32"))
eframe->egui-winit                                 0.33.3               ---                 0.34.3               Normal       cfg(not(target_arch = "wasm32"))
eframe->egui_glow                                  0.33.3               ---                 0.34.3               Normal       ---
eframe->glow                                       0.16.0               ---                 Removed              Normal       ---
eframe->js-sys                                     0.3.85               0.3.102             0.3.102              Normal       cfg(target_arch = "wasm32")
eframe->log                                        0.4.29               0.4.32              0.4.32               Normal       ---
eframe->objc2                                      0.5.2                ---                 0.6.4                Normal       cfg(any(target_os = "macos"))
eframe->objc2-app-kit                              0.2.2                ---                 0.3.2                Normal       cfg(any(target_os = "macos"))
eframe->objc2-foundation                           0.2.2                ---                 0.3.2                Normal       cfg(any(target_os = "macos"))
eframe->profiling                                  1.0.17               1.0.18              1.0.18               Normal       ---
eframe->wasm-bindgen                               0.2.108              0.2.125             0.2.125              Normal       cfg(target_arch = "wasm32")
eframe->wasm-bindgen-futures                       0.4.58               0.4.75              0.4.75               Normal       cfg(target_arch = "wasm32")
eframe->web-sys                                    0.3.85               0.3.102             0.3.102              Normal       cfg(target_arch = "wasm32")
egui->accesskit                                    0.21.1               ---                 0.24.1               Normal       ---
egui->bitflags                                     2.10.0               2.13.0              2.13.0               Normal       ---
egui->emath                                        0.33.3               ---                 0.34.3               Normal       ---
egui->epaint                                       0.33.3               ---                 0.34.3               Normal       ---
egui->log                                          0.4.29               0.4.32              0.4.32               Normal       ---
egui->profiling                                    1.0.17               1.0.18              1.0.18               Normal       ---
egui->smallvec                                     1.15.1               1.15.2              1.15.2               Normal       ---
egui->unicode-segmentation                         1.12.0               1.13.3              1.13.3               Normal       ---
egui-wgpu->egui                                    0.33.3               ---                 0.34.3               Normal       ---
egui-wgpu->epaint                                  0.33.3               ---                 0.34.3               Normal       ---
egui-wgpu->log                                     0.4.29               0.4.32              0.4.32               Normal       ---
egui-wgpu->profiling                               1.0.17               1.0.18              1.0.18               Normal       ---
egui-wgpu->wgpu                                    27.0.1               ---                 29.0.3               Normal       ---
egui-winit->accesskit_winit                        0.29.2               ---                 0.32.2               Normal       ---
egui-winit->egui                                   0.33.3               ---                 0.34.3               Normal       ---
